name,lat,lon,flag,citycode,cityname,adcode,adname,business_area,type
贾平凹馆,34.2109884,108.9721953,TRUE,29,西安市,610113,雁塔区,曲江池,风景名胜;风景名胜相关;旅游景点
仕女馆,34.21670106,108.9711431,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜相关;旅游景点
西安中国书法艺术博物馆,34.2111397,108.9715504,TRUE,29,西安市,610102,新城区,[],科教文化服务;博物馆;博物馆
大唐回珍楼,34.21122463,108.9704929,TRUE,29,西安市,610113,雁塔区,[],餐饮服务;中餐厅;老字号
陕西省文化馆曲江馆区,34.21261837,108.9631445,TRUE,29,西安市,610113,雁塔区,[],科教文化服务;文化宫;文化宫
西安曲江艺术博物馆,34.21623103,108.9588126,TRUE,29,西安市,610113,雁塔区,[],科教文化服务;博物馆;博物馆
锦绣唐朝,34.21394375,108.9586452,TRUE,29,西安市,610113,雁塔区,[],购物服务;购物相关场所;购物相关场所
巧克巧蔻,34.2146057,108.9589289,TRUE,29,西安市,610113,雁塔区,[],交通设施服务;停车场;公共停车场
西安美术馆,34.2126906,108.9587246,TRUE,29,西安市,610113,雁塔区,[],科教文化服务;美术馆;美术馆
曲江文化大厦,34.19055572,108.9585229,TRUE,29,西安市,610113,雁塔区,[],商务住宅;楼宇;商务写字楼
杨虎城将军纪念馆,34.14675175,108.949732,TRUE,29,西安市,610104,莲湖区,[],风景名胜;风景名胜;纪念馆
舍利塔,34.22907295,108.9380625,TRUE,29,西安市,610113,雁塔区,长安路,风景名胜;风景名胜相关;旅游景点
文化大厦,34.22820276,108.9415313,TRUE,29,西安市,610113,雁塔区,长安路,商务住宅;楼宇;商务写字楼
观音阁,34.22837643,108.9378393,TRUE,29,西安市,610118,鄠邑区,[],风景名胜;风景名胜相关;旅游景点
崇文楼,34.21644925,108.9558848,TRUE,29,西安市,610113,雁塔区,丈八,科教文化服务;学校;学校
大礼堂,34.20898505,108.9460361,TRUE,29,西安市,610113,雁塔区,翠华路,科教文化服务;会展中心;会展中心
启德书院,34.21630677,108.9331927,TRUE,29,西安市,610113,雁塔区,长延堡,科教文化服务;培训机构;培训机构
西安美术学院美术馆,34.22040758,108.9265263,TRUE,29,西安市,610113,雁塔区,吉祥村/吉祥路,科教文化服务;展览馆;展览馆
西安美术学院图书馆,34.21949644,108.9259769,TRUE,29,西安市,610113,雁塔区,吉祥村/吉祥路,科教文化服务;图书馆;图书馆
西安外事学院北教学区-图书馆,34.24012432,108.8569956,TRUE,29,西安市,610113,雁塔区,丈八,科教文化服务;图书馆;图书馆
伽蓝殿,34.2192633,108.9596749,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜;寺庙道观
法相宗脉,34.2238878,108.9583996,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜相关;旅游景点
戏楼,34.2233275,108.9569213,TRUE,29,西安市,610124,周至县,[],风景名胜;风景名胜;寺庙道观
山门,34.21810375,108.9594261,TRUE,29,西安市,610113,雁塔区,西安高新技术产业开发区,交通设施服务;地铁站;地铁站
西影电影博物馆,34.2235955,108.9668014,TRUE,29,西安市,610113,雁塔区,西影路,科教文化服务;博物馆;博物馆
文景天下,34.32152292,108.9293464,TRUE,29,西安市,610112,未央区,凤城二路,商务住宅;楼宇;商务写字楼
国宝馆,34.22619489,108.9505922,TRUE,,,,,,
渭河,34.22001825,108.1730096,TRUE,29,西安市,610112,未央区,[],地名地址信息;自然地名;河流
浐河,34.13307301,109.1266174,TRUE,29,西安市,610111,灞桥区,[],地名地址信息;自然地名;河流
庙沟,33.99278736,109.103524,TRUE,29,西安市,610116,长安区,[],地名地址信息;自然地名;山
子午峪,34.0679239,108.8813538,TRUE,29,西安市,610116,长安区,[],地名地址信息;自然地名;山
青龙寺,34.2339754,108.9845906,TRUE,29,西安市,610113,雁塔区,西影路,交通设施服务;地铁站;地铁站
太白庙,33.8392758,107.7097387,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜;寺庙道观
药王殿,33.9269399,107.7759448,TRUE,29,西安市,610103,碑林区,长乐坊,风景名胜;风景名胜;寺庙道观
草堂寺,34.0144051,108.7394417,TRUE,29,西安市,610118,鄠邑区,[],风景名胜;风景名胜;寺庙道观
大皮院清真寺,34.2662109,108.935122,TRUE,29,西安市,610104,莲湖区,广济街,风景名胜;风景名胜;回教寺
石佛寺,34.2219955,108.743134,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;寺庙道观
水陆庵,34.1332998,109.4114938,TRUE,29,西安市,610122,蓝田县,[],风景名胜;风景名胜;寺庙道观
涌泉寺,34.0637858,108.1910448,TRUE,29,西安市,610124,周至县,[],风景名胜;风景名胜;寺庙道观
兴教寺,34.0919722,109.0340897,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;寺庙道观
楼观台,34.0608989,108.2711591,TRUE,29,西安市,610124,周至县,[],风景名胜;风景名胜;国家级景点
清凉寺,34.0756042,108.1195954,TRUE,29,西安市,610116,长安区,韦曲,风景名胜;风景名胜;寺庙道观
老母殿,34.0559498,108.2692022,TRUE,29,西安市,610115,临潼区,骊山,风景名胜;风景名胜;寺庙道观
西安五星街教堂,34.1052942,108.1065631,TRUE,29,西安市,610104,莲湖区,北院门,风景名胜;风景名胜;教堂
清泉观,34.1159707,108.1297843,TRUE,29,西安市,610124,周至县,[],风景名胜;风景名胜;寺庙道观
